Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.17      0.14     0.14 30992771     0.00     0.00  Minisat::StreamBuffer::operator*() const
  4.35      0.19     0.05   456444     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_deallocate_nodes(std::tr1::__detail::_Hash_node<aalta_formula*, false>**, unsigned long)
  4.35      0.24     0.05  1659390     0.00     0.00  int Minisat::parseInt<Minisat::StreamBuffer>(Minisat::StreamBuffer&)
  4.35      0.29     0.05   293000     0.00     0.00  unsigned long const* std::lower_bound<unsigned long const*, unsigned long>(unsigned long const*, unsigned long const*, unsigned long const&)
  3.04      0.33     0.04   107792     0.00     0.00  aalta_formula::minus(std::tr1::unordered_map<int, aalta_formula*, std::tr1::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, aalta_formula*> > >&, std::tr1::unordered_map<aalta_formula, int, aalta_formula::af_hash, std::equal_to<aalta_formula>, std::allocator<std::pair<aalta_formula const, int> > >&, int&, int&, int)
  2.61      0.36     0.03  2739073     0.00     0.00  Minisat::toInt(Minisat::Lit)
  2.61      0.39     0.03  2148783     0.00     0.00  void Minisat::skipWhitespace<Minisat::StreamBuffer>(Minisat::StreamBuffer&)
  2.61      0.42     0.03   486481     0.00     0.00  Minisat::Solver::addClause_(Minisat::vec<Minisat::Lit>&)
  2.61      0.45     0.03   448813     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula*, aalta_formula*, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_compare(aalta_formula* const&, unsigned long, std::tr1::__detail::_Hash_node<aalta_formula*, false>*) const
  2.61      0.48     0.03  1935548     0.00     0.00  std::tr1::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  1.74      0.50     0.02   947195     0.00     0.00  __gnu_cxx::new_allocator<aalta_formula*>::construct(aalta_formula**, aalta_formula* const&)
  1.74      0.52     0.02   923257     0.00     0.00  aalta_formula::operator==(aalta_formula const&) const
  1.74      0.54     0.02   674310     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_find_node(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, aalta_formula* const&, unsigned long) const
  1.74      0.56     0.02   476706     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_insert(aalta_formula* const&, std::tr1::integral_constant<bool, true>)
  1.74      0.58     0.02   430049     0.00     0.00  void Minisat::selectionSort<Minisat::Lit, Minisat::LessThan_default<Minisat::Lit> >(Minisat::Lit*, int, Minisat::LessThan_default<Minisat::Lit>)
  1.74      0.60     0.02        5     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, std::pair<aalta_formula* const, aalta_formula*>, std::allocator<std::pair<aalta_formula* const, aalta_formula*> >, std::_Select1st<std::pair<aalta_formula* const, aalta_formula*> >, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::size() const
  1.30      0.61     0.02    11414     0.00     0.00  aalta_formula::plus(std::tr1::unordered_map<int, aalta_formula*, std::tr1::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, aalta_formula*> > >&, std::tr1::unordered_map<aalta_formula, int, aalta_formula::af_hash, std::equal_to<aalta_formula>, std::allocator<std::pair<aalta_formula const, int> > >&, int&, int&, int)
  0.87      0.62     0.01  5921627     0.00     0.00  Minisat::StreamBuffer::operator++()
  0.87      0.63     0.01  5733750     0.00     0.00  Minisat::lbool::lbool(unsigned char)
  0.87      0.64     0.01  5378190     0.00     0.00  Minisat::vec<Minisat::Lit>::operator[](int)
  0.87      0.65     0.01  3804984     0.00     0.00  Minisat::vec<int>::operator[](int)
  0.87      0.66     0.01  3382897     0.00     0.00  Minisat::var(Minisat::Lit)
  0.87      0.67     0.01  2520905     0.00     0.00  void std::__advance<unsigned long const*, long>(unsigned long const*&, long, std::random_access_iterator_tag)
  0.87      0.68     0.01  2292656     0.00     0.00  Minisat::mkLit(int, bool)
  0.87      0.69     0.01  1893822     0.00     0.00  std::allocator<aalta_formula*>::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> >(std::allocator<std::tr1::__detail::_Hash_node<aalta_formula*, false> > const&)
  0.87      0.70     0.01  1171458     0.00     0.00  std::string convert_to_string<int>(int)
  0.87      0.71     0.01  1114736     0.00     0.00  Minisat::Lit::operator==(Minisat::Lit) const
  0.87      0.72     0.01   946911     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_allocate_node(aalta_formula* const&)
  0.87      0.73     0.01   920411     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::operator[](int)
  0.87      0.74     0.01   888470     0.00     0.00  Minisat::Solver::decisionLevel() const
  0.87      0.75     0.01   826522     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::growTo(int)
  0.87      0.76     0.01   826522     0.00     0.00  Minisat::vec<char>::growTo(int, char const&)
  0.87      0.77     0.01   760243     0.00     0.00  Minisat::Lit::operator<(Minisat::Lit) const
  0.87      0.78     0.01   757931     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<std::pair<aalta_formula const, int>, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>*, std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**)
  0.87      0.79     0.01   739530     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::size() const
  0.87      0.80     0.01   711476     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false>::_M_incr_bucket()
  0.87      0.81     0.01   711097     0.00     0.00  std::tr1::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  0.87      0.82     0.01   688984     0.00     0.00  std::pair<bool, int>::pair(bool const&, int const&)
  0.87      0.83     0.01   579368     0.00     0.00  Minisat::Solver::VarOrderLt::operator()(int, int) const
  0.87      0.84     0.01   525737     0.00     0.00  aalta_formula::unique()
